# Location,Jemez River
# Site,HQ Met Station
# PitID,NMJRHQ_20200212_1305
# Date/Local Standard Time,2020-02-12T13:05
# UTM Zone,13N
# Easting,362633
# Northing,3969255
# Latitude,35.85789
# Longitude,-106.52136
# Flags,
# Pit Comments,"Riming on working face from wind.   Attempted third density
measurement at 12-2cm, but could not get a clean sample."
# Parameter Codes,n/a for this parameter
# Top (cm),Bottom (cm),Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
72.0,62.0,120.0,1.106,1.094,0.0,0.0
62.0,52.0,288.5,1.362,1.272,0.0,0.0
52.0,42.0,255.0,1.242,1.183,0.0,0.0
42.0,32.0,255.5,1.36,1.279,0.0,0.0
32.0,22.0,293.5,1.201,1.216,0.0,0.0
22.0,12.0,302.0,1.444,1.435,0.0,0.0
12.0,2.0,310.5,1.398,1.103,0.0,0.0
