Date,Easting,Northing,Depth
03042020,362595,3969242,52
03042020,362593,3969240,44
03042020,362591,3969237,49
03042020,362589,3969235,52
03042020,362587,3969233,49
03042020,362585,3969230,52
03042020,362584,3969228,53
03042020,362582,3969226,43
03042020,362580,3969223,48
03042020,362578,3969221,49
03042020,362576,3969219,47
03042020,362574,3969216,47
03042020,362572,3969214,53
03042020,362570,3969212,64
03042020,362569,3969209,60
03042020,362567,3969207,63
03042020,362565,3969205,66
03042020,362563,3969203,45
03042020,362561,3969200,41
03042020,362559,3969198,46
03042020,362557,3969196,0
03042020,362555,3969193,48
03042020,362554,3969191,63
03042020,362552,3969189,79
03042020,362550,3969186,81
03042020,362548,3969184,86
03042020,362882,3968984,31
03042020,362885,3968986,40
03042020,362887,3968988,44
03042020,362890,3968989,50
03042020,362892,3968991,59
03042020,362895,3968993,58
03042020,362898,3968995,55
03042020,362900,3968996,51
03042020,362903,3968998,48
03042020,362906,3969000,55
03042020,362908,3969002,50
03042020,362911,3969003,57
03042020,362913,3969005,56
03042020,362916,3969007,59
03042020,362919,3969009,47
03042020,362921,3969010,55
03042020,362924,3969012,56
03042020,362927,3969014,53
03042020,362929,3969016,52
03042020,362932,3969017,56
03042020,362934,3969019,60
03042020,362937,3969021,55
03042020,362940,3969023,56
03042020,362942,3969024,55
03042020,362945,3969026,59
03042020,362948,3969028,54
03042020,362950,3969030,53
03042020,362953,3969032,54
03042020,362955,3969033,53
03042020,362958,3969035,57
03042020,362961,3969037,54
03042020,362963,3969039,52
03042020,362966,3969040,41
03042020,362968,3969042,54
03042020,362971,3969044,56
03042020,362974,3969046,42
03042020,362976,3969047,50
03042020,362979,3969049,44
03042020,362982,3969051,57
03042020,362984,3969053,64
03042020,362987,3969054,48
03042020,362989,3969056,49
03042020,362992,3969058,0
03042020,362995,3969060,0
03042020,362997,3969061,0
03042020,363000,3969063,35
03042020,363003,3969065,38
03042020,363005,3969067,42
03042020,363008,3969068,44
03042020,363010,3969070,35
03042020,363013,3969072,43
