datetime,site,geometry,SWE,SWE_units,AVG AIR TEMP,AVG AIR TEMP_units,SNOWDEPTH,SNOWDEPTH_units,PRECIPITATION,PRECIPITATION_units,datasource
2020-10-01 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,45.68,degF,0.0,in,0.0,in,NRCS
2020-10-02 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,46.4,degF,0.0,in,0.0,in,NRCS
2020-10-03 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,44.06,degF,0.0,in,0.0,in,NRCS
2020-10-04 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,46.04,degF,0.0,in,0.0,in,NRCS
2020-10-05 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,46.22,degF,0.0,in,0.0,in,NRCS
2020-10-06 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,47.48,degF,0.0,in,0.0,in,NRCS
2020-10-07 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,50.18,degF,0.0,in,0.0,in,NRCS
2020-10-08 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,48.02,degF,0.0,in,0.0,in,NRCS
2020-10-09 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,48.2,degF,0.0,in,0.0,in,NRCS
2020-10-10 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,49.46,degF,0.0,in,0.0,in,NRCS
2020-10-11 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,36.68,degF,0.0,in,0.0,in,NRCS
2020-10-12 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,39.56,degF,0.0,in,0.0,in,NRCS
2020-10-13 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,46.22,degF,0.0,in,0.0,in,NRCS
2020-10-14 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,47.3,degF,0.0,in,0.0,in,NRCS
2020-10-15 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,32.72,degF,0.0,in,0.0,in,NRCS
2020-10-16 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,37.94,degF,0.0,in,0.0,in,NRCS
2020-10-17 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,42.44,degF,0.0,in,0.0,in,NRCS
2020-10-18 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,44.06,degF,0.0,in,0.0,in,NRCS
2020-10-19 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,43.16,degF,0.0,in,0.0,in,NRCS
2020-10-20 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,43.16,degF,0.0,in,0.0,in,NRCS
2020-10-21 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,47.12,degF,0.0,in,0.0,in,NRCS
2020-10-22 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,43.7,degF,0.0,in,0.0,in,NRCS
2020-10-23 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,39.56,degF,0.0,in,0.0,in,NRCS
2020-10-24 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,41.36,degF,0.0,in,0.0,in,NRCS
2020-10-25 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,29.48,degF,0.0,in,0.4,in,NRCS
2020-10-26 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.3,in,9.86,degF,6.0,in,0.1,in,NRCS
2020-10-27 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,18.32,degF,4.0,in,0.0,in,NRCS
2020-10-28 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,28.4,degF,2.0,in,0.0,in,NRCS
2020-10-29 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,30.74,degF,2.0,in,0.0,in,NRCS
2020-10-30 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,32.54,degF,2.0,in,0.0,in,NRCS
2020-10-31 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,33.8,degF,1.0,in,0.0,in,NRCS
2020-11-01 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,36.86,degF,1.0,in,0.0,in,NRCS
2020-11-02 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,38.3,degF,1.0,in,0.0,in,NRCS
2020-11-03 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.4,in,39.02,degF,1.0,in,0.0,in,NRCS
2020-11-04 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.3,in,38.12,degF,1.0,in,0.0,in,NRCS
2020-11-05 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.1,in,41.36,degF,1.0,in,0.0,in,NRCS
2020-11-06 08:00:00+00:00,622:CO:SNTL,POINT Z (-108.05756 39.05738 10168),0.0,in,42.98,degF,0.0,in,0.0,in,NRCS
