Grand Mesa,Skyway Tree,COGMST_20200321_1155,2020-03-21T11:55,12N,754143,4325868,39.04493830685071,-108.0634533,232,230,231,237,237,237,102,STCom
Grand Mesa,Skyway Tree,COGMST_20200328_0715,2020-03-28T07:15,12N,754199,4326551,39.051068620314105,-108.0625522,222,220,221,252,250,251,114,STLay
Grand Mesa,Skyway Tree,COGMST_20200328_1430,2020-03-28T14:30,12N,754146,4325861,39.04487443845195,-108.0634213,256,254,255,338,335,336.5,132,
Grand Mesa,Skyway Tree,COGMST_20200401_0900,2020-04-01T09:00,12N,754184,4326540,39.05097399065126,-108.0627295,260,257,258.5,340,337,338.5,131,
Grand Mesa,Skyway Tree,COGMST_20200401_1535,2020-04-01T15:35,12N,754180,4326531,39.05089415959836,-108.062779,261,256,258.5,339,334,336.5,130,
Grand Mesa,Skyway Tree,COGMST_20200418_1217,2020-04-18T12:17,12N,754142,4325831,39.044605618885505,-108.0634786,286,290,288,285,289,287,100,
Grand Mesa,Skyway Tree,COGMST_20200421_0726,2020-04-21T07:26,12N,754212,4325899,39.04519722059436,-108.0626454,329,323,326,380,372,376,115,
Grand Mesa,Skyway Tree,COGMST_20200421_1507,2020-04-21T15:07,12N,754048,4325618,39.04271606898775,-108.0646429,292,296,294,296,298,297,101,
Grand Mesa,Skyway Tree,COGMST_20200422_1618,2020-04-22T16:18,12N,754134,4325810,39.04441895727521,-108.0635788,319,324,321.5,326,330,328,102,
Grand Mesa,Skyway Tree,COGMST_20200503_0653,2020-05-03T06:53,12N,754143,4325838,39.04466832406919,-108.0634645,325,329,327,197,202,199.5,61,
Grand Mesa,Skyway Tree,COGMST_20200503_1732,2020-05-03T17:32,12N,754148,4325844,39.04472086659928,-108.0634046,331,336,333.5,205,208,206.5,62,
